time, amp
224.789333,-48.694226
224.810667,-46.256125
224.832000,-41.774724
224.853333,-45.979762
224.874667,-47.025173
224.896000,-44.549725
224.917333,-51.114347
224.938667,-50.848701
224.960000,-49.047509
224.981333,-45.777390
225.002667,-47.520070
225.024000,-46.985906
225.045333,-47.515994
225.066667,-49.199612
225.088000,-46.481682
225.109333,-50.305715
225.130667,-45.235005
225.152000,-46.863702
225.173333,-47.947348
225.194667,-46.429724
225.216000,-51.190879
225.237333,-44.587208
225.258667,-46.318021
225.280000,-46.912460
225.301333,-50.464457
225.322667,-47.971934
225.344000,-48.672520
225.365333,-44.840643
225.386667,-52.999153
225.408000,-51.912854
225.429333,-50.269317
225.450667,-48.526390
225.472000,-49.607999
225.493333,-43.944591
225.514667,-45.138214
225.536000,-51.238566
225.557333,-50.436031
225.578667,-51.499643
225.600000,-49.874011
225.621333,-49.547975
225.642667,-48.127278
225.664000,-49.097048
225.685333,-45.036401
225.706667,-47.211444
225.728000,-49.867421
225.749333,-47.005042
225.770667,-49.907846
225.792000,-48.035139
225.813333,-48.136405
225.834667,-48.708363
225.856000,-49.014099
225.877333,-44.574645
225.898667,-45.862152
225.920000,-47.660289
225.941333,-43.748129
225.962667,-45.341846
225.984000,-45.380595
226.005333,-50.684488
226.026667,-46.526524
226.048000,-46.477817
226.069333,-47.059159
226.090667,-48.409472
226.112000,-45.764465
226.133333,-47.907878
226.154667,-50.796344
226.176000,-44.879208
226.197333,-49.665139
226.218667,-45.713110
226.240000,-46.115376
226.261333,-48.289754
226.282667,-47.833854
226.304000,-46.804001
226.325333,-48.817980
226.346667,-45.607973
226.368000,-42.332453
226.389333,-50.724361
226.410667,-45.759626
226.432000,-49.456759
226.453333,-46.859830
226.474667,-46.788740
226.496000,-47.654112
226.517333,-49.680029
226.538667,-46.110630
226.560000,-45.729607
226.581333,-47.201374
226.602667,-44.721023
226.624000,-47.256414
226.645333,-50.646828
226.666667,-49.167862
226.688000,-49.762615
226.709333,-50.089684
226.730667,-50.201291
226.752000,-47.687729
226.773333,-47.325807
226.794667,-42.032224
226.816000,-48.258650
226.837333,-44.368609
226.858667,-48.696134
226.880000,-49.404035
226.901333,-46.951310
226.922667,-49.334034
226.944000,-49.808556
226.965333,-43.679666
226.986667,-46.957750
227.008000,-45.279215
227.029333,-49.970392
227.050667,-47.105068
227.072000,-51.300350
227.093333,-49.877149
227.114667,-47.392561
227.136000,-49.098534
227.157333,-43.260437
227.178667,-46.613387
227.200000,-45.556480
227.221333,-46.757313
227.242667,-48.866631
227.264000,-49.261324
227.285333,-47.782503
227.306667,-49.368754
227.328000,-45.877131
227.349333,-47.453989
227.370667,-47.179432
227.392000,-43.920500
227.413333,-44.795460
227.434667,-45.536814
227.456000,-46.198057
227.477333,-47.224941
227.498667,-44.730420
227.520000,-49.189942
227.541333,-47.791245
227.562667,-48.823334
227.584000,-41.633074
227.605333,-46.692784
227.626667,-52.077512
227.648000,-52.272639
227.669333,-49.398207
227.690667,-45.234282
227.712000,-47.482185
227.733333,-47.983160
227.754667,-48.201545
227.776000,-50.658260
227.797333,-50.055163
227.818667,-47.170166
227.840000,-46.490101
227.861333,-46.754333
227.882667,-43.345745
227.904000,-51.643785
227.925333,-48.876334
227.946667,-48.810222
227.968000,-48.839393
227.989333,-49.665663
228.010667,-44.690449
228.032000,-45.717454
228.053333,-44.790971
228.074667,-47.011936
228.096000,-45.409166
228.117333,-45.429112
228.138667,-49.170348
228.160000,-47.183943
228.181333,-49.349180
228.202667,-46.369868
228.224000,-52.379123
228.245333,-47.847107
228.266667,-48.552452
228.288000,-45.917158
228.309333,-44.776105
228.330667,-46.732147
228.352000,-45.705367
228.373333,-46.406203
228.394667,-48.902967
228.416000,-47.998225
228.437333,-48.018120
228.458667,-46.626043
228.480000,-46.279336
228.501333,-45.938098
228.522667,-46.399397
228.544000,-43.901512
228.565333,-50.009150
228.586667,-48.344246
228.608000,-46.416743
228.629333,-47.724532
228.650667,-49.850171
228.672000,-50.155509
228.693333,-51.249633
228.714667,-49.749986
228.736000,-45.788974
228.757333,-52.397808
228.778667,-44.972075
228.800000,-51.443287
228.821333,-48.119852
228.842667,-49.289999
228.864000,-47.482313
228.885333,-47.701446
228.906667,-46.408270
228.928000,-42.199701
228.949333,-48.490465
228.970667,-45.291788
228.992000,-50.290593
229.013333,-49.740844
229.034667,-45.719559
229.056000,-44.427975
229.077333,-46.177650
229.098667,-47.134124
229.120000,-46.583420
229.141333,-49.977822
229.162667,-46.742267
229.184000,-49.403312
229.205333,-46.918163
229.226667,-48.474290
229.248000,-46.708088
229.269333,-51.426870
229.290667,-47.363394
229.312000,-47.380680
229.333333,-48.222351
229.354667,-45.476463
229.376000,-49.863066
229.397333,-45.904947
229.418667,-51.160657
229.440000,-53.033906
229.461333,-47.413142
229.482667,-48.598416
229.504000,-45.839883
229.525333,-47.935449
229.546667,-45.260116
229.568000,-47.730690
229.589333,-45.525717
229.610667,-46.069039
229.632000,-46.186137
229.653333,-46.942961
229.674667,-48.497442
229.696000,-47.225838
229.717333,-50.010089
229.738667,-49.083672
229.760000,-48.152307
229.781333,-45.633402
229.802667,-48.159605
229.824000,-46.517866
229.845333,-44.424752
229.866667,-51.840688
229.888000,-49.022344
229.909333,-51.036283
229.930667,-50.889562
229.952000,-45.342316
229.973333,-49.742638
229.994667,-45.864183
230.016000,-43.946419
